a: ə; e
abalone: ,æbə'loni
crisscross: 'krɪs,krɔs
criteria: kraɪ'tɪrɪə
criterion: kraɪ'tɪərɪən
critic: 'krɪtɪk
critical: 'krɪtɪk(ə)l
critically: 'krɪtɪkli
criticise: 'krɪtɪsaɪz
criticism: 'krɪtə'sɪzəm
criticize: 'krɪtə'saɪz
critique: krɪ'tik
crockery: 'krɒkəri
crocodile: 'krɒkədaɪl
crook: krʊk
crooked: 'krʊkɪd
crop: krɔp
cropland: 'krɑp,lænd
cross: krɔs
crossbill: 'krɔs,bɪl
crossbones: 'krɔsbonz
crossbreed: 'krɔs,brid
crossing: ˈkrɔsɪŋ
crossroads: 'krɔsrodz
crossword: 'krɒswɜːd
crouch: kraʊtʃ
crow: kro
crowbar: 'krobɑr
crowd: kraʊd
crowded: 'kraudɪd
crown: kraʊn
crucial: 'kruːʃ(ə)l
crucible: 'krʊsəbl
crude: kruːd
crudely: krˈudli
cruel: 'kruːəl
cruelty: 'krʊəlti
cruise: kruːz
crumb: krʌm
crumble: 'krʌmb(ə)l
crumple: 'krʌmp(ə)l
crunch: krʌntʃ
crusade: kruː'seɪd
crush: krʌʃ
crushing: 'krʌʃɪŋ
crust: krʌst
crustacean: krʌ'steʃən
crustal: 'krʌstl
cry: kraɪ
cryptic: 'krɪptɪk
crystal: 'krɪst(ə)l
crystalline: ˈkrɪstəlɪn; ˈkrɪstəlˌaɪn
crystallization: ,krɪstlɪ'zeʃən
crystallize: 'krɪstəlaɪz
cuban: 'kju:bən
cube: kjuːb
cubic: 'kjubɪk
cubism: 'kjubɪzəm
cuckoo: 'kʊku
cucumber: 'kjuːkʌmbə
cud: kʌd
cue: kjuː
cuisine: kwɪ'ziːn
cull: kʌl
culminate: 'kʌlmɪneɪt
culmination: 'kʌlmə'neʃən
culpable: 'kʌlpəbl
culprit: 'kʌlprɪt
cult: kʌlt
cultivate: 'kʌltɪveɪt
cultivation: ˌkʌltɪ'veɪʃn
cultural: 'kʌltʃərəl
culturally: 'kʌltʃərəli
culture: ˈkʌltʃə(r)
cumbersome: 'kʌmbəs(ə)m
cumulative: 'kjuːmjʊlətɪv
cuneiform: 'kjʊnɪə,fɔrm
cunning: 'kʌnɪŋ
cup: kʌp
cupboard: ˈkʌbəd
cupidity: kju'pɪdəti
curative: 'kjuərətɪv
curator: kjʊ'retɚ
curb: kɜːb
cure: kjʊə; kjɔː
curio: 'kjʊrɪo
curiosity: ˌkjuəri'ɒsəti
curious: 'kjuəriəs
curiously: 'kjʊrɪəsli
curl: kɜːl
curly: 'kɜːli
curmudgeon: kɝ'mʌdʒən
currency: 'kʌr(ə)nsɪ
current: 'kʌr(ə)nt
currently: 'kʌrəntli
curriculum: kə'rɪkjʊləm
currier: 'kɝɪɚ
curry: 'kʌri
curse: kɜːs
cursory: 'kə:səri
curtail: kɜː'teɪl
curtain: ˈkɜːt(ə)n
curtsy: 'kɝtsi
curvature: 'kɝvətʃɚ
curve: kɜːv
cushion: ˈkʊʃ(ə)n
cuspidor: 'kʌspə,dɔr
custodial: kʌ'stodɪəl
custodian: kʌ'stəʊdɪən
custom: 'kʌstəm
customarily: 'kʌstəmərəli
customary: 'kʌstəm(ə)rɪ
customer: ˈkʌstəmə(r)
customs: 'kʌstəmz
cut: kʌt
cute: kju:t
cuticle: 'kjʊtɪkl
cutter: 'kʌtɚ
cutting: 'kʌtɪŋ
cyan: 'saɪən
cyanide: 'saɪə,naɪd
cyberspace: 'saɪbɚspes
cycle: 'saɪkl
cyclic: 'saɪklɪk
cyclical: ˈsɪklɪkəl
cyclist: 'saɪklɪst
cylinder: 'sɪlɪndə
cylindrical: sə'lɪndrɪkl
cynical: 'sɪnɪk(ə)l
cynthia: 'sinθiə
dad: dæd
daddy: 'dædi
daguerreotype: də'ɡɛrətaɪp
daily: ˈdeɪlɪ
dairy: 'deərɪ
dais: 'deiis
daisy: 'dezi
dale: del
dam: dæm
damage: 'dæmɪdʒ
damn: dæm
damp: dæmp
dampen: 'dæmpən
damper: 'dæmpɚ
dance: dɑːns; (US) dæns
dandelion: 'dændɪlaɪən
danger: 'dendʒɚ
dangerous: ˈdeɪndʒərəs
dapple: 'dæpl
dare: deə(r)
daring: 'dɛrɪŋ
dark: dɑːk
darken: 'dɑrkən
darkness: 'dɑrknəs
darkroom: 'dɑːkrum
darling: 'dɑrlɪŋ
darn: dɑrn
dart: dɑːt
dash: dæʃ
data: 'deɪtə
database: 'deɪtəbeɪs
date: deɪt
dateline: 'det,laɪn
dating: 'deɪtɪŋ
datum: ˈdetəm ; ˈdætəm ; (also) ˈdɑtəm
daughter: ˈdɔːtə(r)
daunt: dɔːnt
dauntless: 'dɔntləs
dawn: dɔːn
day: deɪ
daylight: 'delaɪt
daytime: ˈdeɪtaɪm
dazzle: 'dæz(ə)l
dazzling: 'dæzliŋ
dazzlingly: 'dæzliŋli
dead: ded
deadline: 'dedlaɪn
deadlock: 'dedlɒk
deadly: 'dedlɪ
deaf: def
deafen: 'dɛfən
deal: diːl
dealer: 'diːlə(r)
dealing: 'dilɪŋ
dean: diːn
dear: dɪə(r)
dearth: dɜːθ
death: deθ
debacle: dɪˈbɑkəl
debase: dɪ'bes
debatable: dɪ'betəbəl
debate: dɪ'beɪt
debilitate: dɪ'bɪlɪtet
debris: 'debriː; 'deɪbriː
debt: det
debtor: 'dɛtɚ
debunk: 'di'bʌŋk
debut: de'bju
decade: 'dekeɪd; dɪ'keɪd
decadent: 'dɛkədənt
decagon: 'dɛkəɡɑn
decapitate: dɪ'kæpɪteɪt
decay: dɪ'keɪ
decease: dɪ'sis
deceit: dɪ'sit
deceitful: dɪ'sitfl
deceive: dɪ'siːv
december: dɪˈsembə(r)
decency: 'disnsi
decent: 'diːs(ə)nt
deception: dɪ'sepʃn
deceptive: dɪ'sɛptɪv
decibel: 'desɪbel
decide: dɪˈsaɪd
decidedly: dɪ'saɪdɪdli
deciduous: dɪ'sɪdʒuəs
decimal: 'desɪm(ə)l
decimal point: 'desiməl'pɔint
decipher: dɪ'saɪfə
decision: dɪˈsɪʒ(ə)n
decisive: dɪ'saɪsɪv
deck: dek
declaim: dɪ'klem
declaration: deklə'reɪʃ(ə)n
declare: dɪ'kleə
decline: dɪ'klaɪn
deco: dˈɛkoʊ
decode: ˌdi:ˈkəʊd
decompose: diːkəm'pəʊz
decomposition: ,dikɑmpə'zɪʃən
decompression: ˌdiːkəm'preʃn
decor: de'kɔr
decorate: ˈdekəreɪt
decoration: ,dɛkə'reʃən
decorative: 'dɛkəretɪv
decorator: 'dɛkəretɚ
decorous: 'dɛkərəs
decouple: diː'kʌpl
decoy: 'dikɔɪ
decrease: dɪ'kriːs
decree: dɪ'kriː
decrepit: dɪ'krepɪt
decry: dɪ'kraɪ
dedicate: 'dedɪkeɪt
dedicated: 'dedɪkeɪtɪd
dedication: ,dɛdɪ'keʃən
deduce: dɪ'djuːs
deduct: dɪ'dʌkt
deduction: dɪ'dʌkʃən
deductive: dɪ'dʌktɪv
deed: did
deem: diːm
deep: diːp
deepen: 'dipən
deeply: ˈdiːplɪ
deer: dɪə(r)
default: dɪ'fɔːlt; 'diːfɔːlt
defeat: dɪ'fiːt
defecate: 'dɛfəket
defect: 'diːfekt; dɪ'fekt
defence: dɪ'fens
defend: dɪ'fɛnd
defendant: dɪ'fend(ə)nt
defender: dɪ'fɛndɚ
defense: dɪ'fɛns
defenseless: dɪ'fɛnslɪs
defensible: dɪ'fɛnsəbl
defensive: dɪ'fɛnsɪv
defer: dɪ'fɜː
deference: 'dɛfərəns
deferential: ˌdefə'rɛnʃl
defiance: dɪ'faɪəns
defiant: dɪ'faɪənt
deficiency: dɪ'fɪʃ(ə)nsɪ
deficient: dɪ'fɪʃnt
deficit: 'defɪsɪt; 'diː-
defile: dɪ'faɪl
define: dɪ'faɪn
definite: 'defɪnɪt
definitely: 'dɛfɪnətli
definition: ˌdefɪ'nɪʃn
definitive: dɪ'fɪnɪtɪv
definitively: dɪfˈɪnɪtɪvli
deflate: dɪ'fleɪt
deflect: dɪ'flekt
deflection: dɪ'flɛkʃən
deforestation: ,di,fɔrɪ'steʃən
deform: dɪ'fɔrm
deformation: 'difɔr'meʃən
deformity: dɪ'fɔrməti
defraud: dɪ'frɔːd
deft: deft
defy: dɪ'faɪ
degas: di'gæs
degenerate: dɪ'dʒen(ə)rət
degeneration: dɪ,dʒɛnə'reʃən
degenerative: dɪ'dʒɛnərətɪv
deglaciation: di,ɡleiʃi:'eiʃən
degradation: ,dɛɡrə'deʃən
degrade: dɪ'greɪd
degree: dɪ'ɡri
dehydrate: di'haɪdret
dehydration: ,dihaɪ'dreʃən
deity: 'deəti
dejected: dɪ'dʒɛktɪd
delay: dɪ'leɪ
delectable: dɪ'lektəb(ə)l
delegate: ˈdɛlɪˌɡeɪt; -ɡɪt; (for v.,) ˈdɛlɪˌɡeɪt
delegation: ,dɛlɪ'ɡeʃən
delete: dɪ'liːt
deleterious: 'dɛlə'tɪrɪəs
delft: dˈɛlft
deliberate: dɪ'lɪb(ə)rət
deliberately: dɪ'lɪbərətli
deliberation: dɪ,lɪbə'reʃən
delicate: 'delɪkət
delicious: dɪˈlɪʃəs
delight: dɪˈlaɪt
delighted: dɪ'laɪtɪd
delightful: dɪ'laɪtfl
delineate: dɪ'lɪnɪet
delinquency: dɪ'lɪŋkw(ə)nsɪ
delinquent: dɪ'lɪŋkwənt
delirium: dɪ'lɪrɪəm
deliver: dɪ'lɪvə
delivery: dɪ'lɪvəri
delta: 'deltə
delude: dɪ'l(j)uːd
deluge: 'deljuːdʒ
delusion: dɪ'luʒn
demagoguery: 'deməˌgɔgəri
demand: dɪˈmɑːnd; (US) dɪˈmænd
demanding: dɪ'mændɪŋ
demeanor: di'mi:nə
demerit: diː'merɪt
demise: dɪ'maɪz
demobilize: di'mobəlaɪz
democracy: dɪ'mɒkrəsɪ
democrat: 'dɛməkræt
democratic: ˌdemə'krætɪk
democratization: dɪ,mɑkrətɪ'zeʃən
demographic: ˌdemə'græfɪk
demolish: dɪ'mɒlɪʃ
demolition: ˌdemə'lɪʃn
demonstrate: 'demənstreɪt
demonstration: ˌdemən'streɪʃn
demur: dɪ'mɝ
demure: dɪ'mjʊr
denationalize: ,di'næʃnəlaɪz
denial: dɪ'naɪ(ə)l
denigrate: 'dɛnɪɡret
denmark: 'denma:k
denominate: dɪ'nɑmɪnet
denomination: dɪ,nɒmɪ'neɪʃ(ə)n
denominator: dɪ'nɑmə'netɚ
denote: dɪ'nəʊt
denounce: dɪ'naʊns
dense: dens
densely: 'dɛnsli
density: 'densəti
dent: dɛnt
dental: 'dɛntl
dentist: 'dentɪst
denude: dɪ'nud
deny: dɪ'naɪ
depart: dɪ'pɑːt
department: dɪ'pɑrtmənt
departmental: ˌdiːpɑːt'mentl
departure: dɪ'pɑːtʃə(r)
depend: dɪˈpend
dependable: dɪ'pɛndəbl
dependably: di'pendəbli
dependant: di'pendənt
dependence: dɪ'pɛndəns
dependent: dɪ'pɛndənt
depict: dɪ'pɪkt
depiction: dɪ'pɪkʃən
deplete: dɪ'pliːt
depletion: dɪ'pliːʃn
deplorable: dɪ'plɔrəbl
deplore: dɪ'plɔː
deploy: dɪ'plɔɪ
deport: dɪ'pɔrt
deportment: dɪ'pɔrtmənt
depose: dɪ'poz
deposit: dɪ'pɒzɪt
deposition: ,dɛpə'zɪʃən
depositor: dɪ'pɑzɪtɚ
depot: 'dipo
depraved: dɪ'prevd
deprecate: 'dɛprəket
depreciate: dɪ'priʃɪet
depreciation: dɪ,priʃɪ'eʃən
depredation: ,dɛprə'deʃən
depress: dɪ'pres
depressed: dɪ'prɛst
depressing: dɪ'prɛsɪŋ
depression: dɪ'preʃ(ə)n
deprivation: ,dɛprɪ'veʃən
deprive: dɪ'praɪv
depth: dɛpθ
deputy: 'depjʊtɪ
derail: dɪ'rel
derange: di'reindʒ
derelict: 'derəlɪkt
deride: dɪ'raɪd
derisive: dɪ'raɪsɪv
derivation: 'dɛrə'veʃən
derivative: də'rɪvətɪv
derive: dɪ'raɪv
derogate: 'dɛrəɡet
derrick: 'dɛrɪk
desalination: ,di,sælɪ'neʃən
descend: dɪ'send
descendant: dɪ'sɛndənt
descendent: di'sendənt
descent: dɪ'sent
describe: dɪˈskraɪb
description: dɪˈskrɪpʃ(ə)n
descriptive: dɪ'skrɪptɪv
descry: dɪ'skraɪ
desegregate: ,di'sɛɡrɪɡet
desert: dɪˈzɜːt
deserted: dɪ'zɝtɪd
desertification: dɪ,zɝtɪfɪ'keʃən
deserve: dɪˈzɜːv
desiccant: 'dɛsəkənt
desiccate: 'dɛsɪ,ket
desiccation: ,dɛsɪ'keʃən
design: dɪ'zaɪn
designate: 'dezɪgneɪt
designation: ,dɛzɪɡ'neʃən
designer: dɪ'zaɪnɚ
desirability: dɪ,zaɪrə'bɪləti
desirable: dɪ'zaɪərəb(ə)l
desire: dɪ'zaɪə(r)
desk: desk
desolate: 'des(ə)lət
despair: dɪ'speə
despatch: di'spætʃ
desperate: 'desp(ə)rət
despicable: dɪ'spɪkəbl
despise: dɪ'spaɪz
despite: dɪ'spaɪt
despoil: dɪ'spɔɪl
despondent: dɪ'spɑndənt
despotic: dɪ'spɑtɪk
dessert: dɪ'zɝt
destination: ,destɪ'neɪʃ(ə)n
destine: 'destɪn
destined: 'dɛstɪnd
destiny: 'destɪnɪ
destitution: ,desti'tju:ʃən
destroy: dɪˈstrɔɪ
destruction: dɪ'strʌkʃn
destructive: dɪ'strʌktɪv
desultory: 'dɛsəltɔri
detach: dɪ'tætʃ
detached: dɪ'tætʃt
detachment: dɪ'tætʃmənt
detail: 'diːteɪl
detailed: dɪ'teld
detain: dɪ'teɪn
detect: dɪ'tekt
detectable: dɪ'tɛktəbl
detection: dɪ'tɛkʃən
detective: dɪˈtektɪv
detector: dɪ'tɛktɚ
deter: dɪ'tɜː
detergent: dɪ'tɜːdʒ(ə)nt
deteriorate: dɪ'tɪərɪəreɪt
deteriorates: dɪ'tɪrɪəret
deterioration: dɪˌtɪərə'reɪʃn
determinant: dɪ'tɝmɪnənt
determinate: dɪ'tɝmɪnət
determination: dɪ,tɜːmɪ'neɪʃ(ə)n
determine: dɪ'tɜːmɪn
determinedly: dətˈɝmənədli
deterrent: dɪ'tɝənt
detest: dɪ'test
detonate: 'dɛtənet
detour: 'diːtuə(r)
detract: dɪ'trækt
detractor: dɪ'træktɚ
detriment: 'detrɪm(ə)nt
detrimental: ,detrɪ'ment(ə)l
detritus: dɪ'traɪtəs
devalue: ˌdiː'væljuː
devastate: 'devəsteɪt
devastating: 'devəsteitiŋ
devastation: ,devə'steiʃən
develop: dɪˈveləp
developer: dɪ'vɛləpɚ
development: dɪ'vɛləpmənt
developmental: dɪ,vɛləp'mɛntl
deviance: 'diːviəns
deviant: 'divɪənt
deviate: 'diːvɪeɪt
deviation: 'divɪ'eʃən
device: dɪ'vaɪs
devil: 'dɛvl
devious: 'divɪəs
devise: dɪ'vaɪz
devoid: dɪ'vɔɪd
devote: dɪ'vəʊt
devotion: dɪ'voʃən
devour: dɪ'vaʊə
devout: dɪ'vaʊt
dew: du
dexterity: dɛk'stɛrəti
dexterous: 'dɛkstrəs
diabetes: ,daɪə'bitiz
diabolical: 'daiə'bɔlik / -kəl
diagnose: 'daɪəgnəʊz; -'nəʊz
diagnosis: ,daɪəɡ'nosɪs
diagnostic: ,daɪəɡ'nɑstɪk
diagonal: daɪ'æɡənl
diagonally: daɪ'ægənəli
diagram: ˈdaɪəɡræm
dial: ˈdaɪ(ə)l
dialect: 'daɪəlekt
dialog: 'daɪə,lɑg
dialogue: ˈdaɪəlɔɡ; (US) ˈdaɪəlɔːɡ
diameter: daɪ'æmɪtə
diamond: 'daɪəmənd
diaphanous: daɪ'æfənəs
diary: ˈdaɪərɪ
dichotomy: daɪ'kɑtəmi
dictaphone: 'diktəfəun
dictate: dɪk'teɪt
dictation: dɪkˈteɪʃ(ə)n
dictator: 'dɪktetɚ
dictatorial: 'dɪktə'tɔrɪəl
diction: 'dɪkʃən
dictionary: ˈdɪkʃənərɪ; (US) ˈdɪkʃənerɪ
didactic: daɪ'dæktɪk
die: daɪ
dielectric: ,daɪɪ'lɛktrɪk
diesel: 'diːzl
diet: 'daɪət
dietary: 'daɪətəri
differ: 'dɪfə
difference: ˈdɪfərəns
different: ˈdɪfərənt
differential: 'dɪfə'rɛnʃəl
differentiate: ,dɪfə'renʃɪeɪt
differentiating: ,dɪfə'rɛnʃɪ,etɪŋ
differentiation: ,dɪfə,rɛnʃi'eʃən
differently: 'dɪfərəntli
difficult: ˈdɪfɪkəlt
difficulty: ˈdɪfɪkəltɪ
diffident: 'dɪfɪdənt
diffuse: dɪ'fjuːz
diffusely: di'fju:zli
diffuses: dɪ'fjus
diffusion: dɪ'fjʊʒən
difluoride: daɪˈflʊəraɪd
dig: dɪɡ
digest: daɪ'dʒest; dɪ-
digestion: daɪdʒɛstʃən
digestive: daɪ'dʒestɪv; dɪ'dʒestɪv
digit: 'dɪdʒɪt
digital: ˈdɪdʒɪt(ə)l
digitize: 'dɪdʒɪtaɪz
dignify: 'dɪɡnɪfaɪ
dignity: 'dɪgnɪtɪ
digression: daɪ'grɛʃən
dike: daɪk
dilapidate: di'læpideit
dilapidated: dɪ'læpɪdeɪtɪd
dilate: daɪ'leɪt; dɪ-
dilatory: 'dɪlətɔri
dilemma: dɪ'lemə; daɪ-
dilettante: ,dɪlə'tænti
diligence: 'dɪlɪdʒəns
diligent: 'dɪlɪdʒ(ə)nt
dilute: daɪ'l(j)uːt; dɪ-
dilution: dɪ'ljʊʃən
dim: dɪm
dime: daɪm
dimension: dɪ'menʃ(ə)n; daɪ-
dimensional: daɪ'menʃnl
diminish: dɪ'mɪnɪʃ
diminution: /ˌdɪmɪˈnuːʃn/
diminutive: dɪ'mɪnjətɪv
dimly: 'dɪmli
dimply: dimpli
din: dɪn
dine: daɪn
dingy: 'dɪn(d)ʒɪ
dining: 'daɪnɪŋ
dinner: ˈdɪnə(r)
dinosaur: ˈdaɪnəˌsɔr
diode: 'daɪod
dioxide: daɪ'ɒksaɪd
dip: dɪp
diploma: dɪ'pləʊmə
diplomat: 'dɪpləmæt
diplomatic: dɪplə'mætɪk
dipper: 'dɪpɚ
dire: 'daiə
direct: dɪˈrekt, daɪˈrekt
direction: dɪˈrekʃ(ə)n, daɪˈrekʃ(ə)n
directional: də'rɛkʃənl
directive: daɪ'rɛktɪv
directly: dəˈrektli
director: dɪˈrektə(r)
directory: dɪˈrektərɪ
dirt: dɜːt
dirty: ˈdɜːtɪ
disability: ,dɪsə'bɪləti
disable: dɪs'eɪb(ə)l
disabled: dɪs'ebld
disadvantage: ˌdɪsəd'vɑːntɪdʒ
disadvantageous: ,dɪsædvæn'tedʒəs
disaffection: ,dɪsə'fɛkʃən
disagree: ˌdɪsə'griː
disagreeable: ,dɪsə'ɡriəbl
disagreement: ,dɪsə'ɡrimənt
disappear: dɪsəˈpɪə(r)
disappearance: ,dɪsə'pɪrəns
disappoint: 'dɪsə'pɔɪnt
disappointed: 'dɪsə'pɔɪntɪd
disappointing: ˌdɪsə'pɔɪntɪŋ
disappointment: ,dɪsə'pɔɪntmənt
disapproval: 'dɪsə'prʊvl
disapprove: ˌdɪsə'pruːv
disarm: dɪs'ɑrm
disarray: dɪsə'reɪ
disaster: dɪ'zɑːstə
disastrous: dɪ'zɑːstrəs
disavow: ,dɪsə'vaʊ
disburse: dis'bə:s
disc: dɪsk
discard: dɪ'skɑːd
discern: dɪ'sɜːn
discernible: dɪ'zɝnəbl
discerning: dɪ'sɜːnɪŋ
discharge: dɪs'tʃɑːdʒ
disciple: dɪ'saɪpl
discipline: 'dɪsɪplɪn
disclaim: dɪs'klem
disclaimer: dɪs'klemɚ
disclose: dɪs'kləʊz
disco: 'dɪsko
discolor: dɪs'kʌlɚ
discoloration: ,dɪs,kʌlə'reʃən
discomfit: dɪs'kʌmfɪt
disconcert: 'dɪskən'sɝt
disconnect: ,dɪskə'nɛkt
discontent: ,dɪskən'tɛnt
discontinue: ˌdɪskən'tɪnjuː
discontinuity: ,dɪs,kɑntə'nuəti
discord: 'dɪskɔːd
discount: 'dɪskaʊnt
discountenance: dɪs'kaʊntɪnəns
discourage: dɪs'kʌrɪdʒ
discourse: 'dɪskɔrs
discourteous: dɪs'kɜːtɪəs
discover: dɪˈskʌvə(r)
discoverer: dis'kʌvərə
discovery: dɪˈskʌvərɪ
discredit: dɪs'kredɪt
discreet: dɪ'skriːt
discrepancy: dɪs'krep(ə)nsɪ
discrepant: dɪ'skrɛpənt
discrete: dɪ'skriːt
discretion: dɪ'skreʃn
discretionary: dɪ'skrɛʃə'nɛri
discriminate: dɪ'skrɪmɪneɪt
discrimination: dɪ,skrɪmɪ'neʃən
discuss: dɪsˈkʌs
discussion: dɪsˈkʌʃ(ə)n
disdain: dɪs'deɪn; -z-
disease: dɪˈziːz
disempower: ˌdɪsɪm'pauə(r)
disenchantment: ˌdɪsɪn'tʃɑːntmənt
disengage: 'dɪsɪn'gedʒ
disengagement: ,dɪsɪn'gedʒmənt
disfigure: dɪs'fɪgə(r)
disgrace: dɪs'ɡres
disguise: dɪs'gaɪz
disgust: dɪs'gʌst
disgusting: dɪs'ɡʌstɪŋ
dish: dɪʃ
dishabituate: ,dɪshə'bɪtjʊeɪt
disharmony: ˌdɪs'hɑːməni
dishevel: dɪ'ʃevl
dishonest: dɪs'ɑnɪst
dishonour: dɪs'ɑnɚ
dishwasher: 'dɪʃwɔʃɚ
disillusion: ˌdɪsɪ'luːʒn
disillusionment: ˌdɪsɪ'luːʒnmənt
disinfect: 'dɪsɪn'fɛkt
disingenuous: ,dɪsɪn'dʒɛnjuəs
disintegrate: dɪs'ɪntɪgreɪt
disintegration: dɪs,ɪntə'greʃən
disinterest: dɪs'ɪntrəst
disinterested: dɪs'ɪntərɪsɪd
disk: dɪsk
dislike: dɪs'laɪk
dislodge: dɪs'lɑdʒ
disloyalty: dis'lɔiəlti
dismal: 'dɪzməl
dismantle: dɪs'mæntl
dismay: dɪs'meɪ
dismember: dɪs'mɛmbɚ
dismiss: dɪs'mɪs
dismissal: dɪs'mɪsl
disobey: ˌdɪsə'beɪ
disorder: dɪs'ɔːdə
disorderly: dɪs'ɔrdɚli
disorient: dɪsˈɔriˌɛnt, -ˈor-
disorientate: dɪs'ɔːriənteɪt
disorientation: dɪsˌɔriəntˈeɪʃən
disparage: dɪ'spærɪdʒ
disparate: 'dɪspərət
disparity: dɪ'spærəti
dispatch: dɪˈspætʃ
dispel: dɪ'spel
dispensable: dɪ'spɛnsəbl
dispensation: ,dispen'seiʃən
dispense: dɪ'spens
dispenser: dɪs'pensə(r)
dispersal: dɪ'spɜːsl
disperse: dɪ'spɜːs
dispiriting: dɪ'spɪrɪtɪŋ
displace: dɪs'pleɪs
displacement: dɪs'plesmənt
display: dɪsˈplei
displease: dɪs'pliz
disposable: dɪ'spəuzəbl
disposal: dɪ'spəuzl
dispose: dɪ'spəʊz
disposition: dɪspə'zɪʃ(ə)n
disproportionate: disprə'pɔ:ʃənət
disproportionately: ,disprə'pɔ:ʃənitli
disprove: ,dɪs'pruv
dispute: dɪ'spjuːt; 'dɪspjuːt
disqualify: dɪs'kwɒlɪfaɪ
disquiet: dɪs'kwaɪət
disregard: dɪsrɪ'gɑːd
disrepute: ,dɪsrɪ'pjut
disrespectful: ˌdɪsrɪ'spektfl
disrupt: dɪs'rʌpt
disruption: dɪs'rʌpʃn
disruptive: dɪs'rʌptɪv
dissatisfaction: dɪs'sætɪs'fækʃən
dissatisfied: dɪs'sætɪsfaɪd
dissatisfy: dɪs'sætɪs,fai
dissect: dɪˈsɛkt, daɪ-, ˈdaɪˌsɛkt
dissemble: di'sembl
disseminate: dɪ'semɪneɪt
dissemination: dɪˌsemɪ'neɪʃn
dissension: dɪ'sɛnʃən
dissent: dɪ'sɛnt
dissenter: di'sentə
dissentious: di'senʃəs
dissertation: ,dɪsə'teɪʃ(ə)n
disservice: dɪs'sɝvɪs
dissever: dɪs'sɛvɚ
dissimilar: dɪ'sɪmɪlɚ
dissimulate: di'simjuleit
dissipate: 'dɪsɪpeɪt
dissolute: 'dɪsəlut
dissolution: ,dɪsə'luʃən
dissolve: dɪ'zɒlv
dissonant: 'dɪsənənt
dissuade: dɪ'swed
distance: 'dɪstəns
distant: 'dɪstənt
distantly: 'distəntli
distasteful: dɪs'testfl
distend: dɪ'stend
distil: dis'til
distill: dɪ'stɪl
distillation: ,dɪstl'eʃən
distinct: dɪ'stɪŋ(k)t
distinction: dɪ'stɪŋ(k)ʃ(ə)n
distinctive: dɪ'stɪŋktɪv
distinctively: dɪstˈɪŋktɪvli
distinctly: dɪ'stɪŋktli
distinguish: dɪ'stɪŋgwɪʃ
distinguishable: dɪ'stɪŋgwɪʃəbl
distinguished: dɪ'stɪŋgwɪʃt
distingusihed: dis'tiŋgwiʃt
distort: dɪ'stɔːt
distortion: dɪ'stɔːʃn
distract: dɪ'strækt
distracted: dɪ'stræktɪd
distraction: dɪ'strækʃ(ə)n
distraught: dɪ'strɔt
distress: dɪ'stres
distressed: dɪ'strɛst
distribute: dɪ'strɪbjuːt; 'dɪstrɪbjuːt
distribution: ˌdɪstrɪ'bjuːʃn
distributor: dɪ'strɪbjətɚ
district: 'dɪstrɪkt
distrust: dɪs'trʌst
disturb: dɪˈstɜːb
disturbance: dɪ'stɜːb(ə)ns
disturbing: dɪ'stɝbɪŋ
disuse: dɪs'jus
ditch: dɪtʃ
diurnal: daɪ'ɝnl
diva: 'divə
dive: daɪv
diver: 'daɪvɚ
diverge: daɪ'vɜːdʒ
divergence: dəˈvɜrdʒəns; daɪˈvɜrdʒəns
divergent: daɪ'vɝdʒənt
divers: 'daɪvɚz
diverse: daɪ'vɜːs; 'daɪvɜːs
diversification: dɪ,vɝsɪfɪ'keʃən
diversify: daɪ'vɜːsɪfaɪ
diversion: daɪ'vɜːʃ(ə)n; dɪ-
diversity: daɪ'vɜːsəti
divert: daɪ'vɜːt; dɪ-
divest: daɪ'vɛst
divide: dɪˈvaɪd
dividend: 'dɪvɪdend
divine: dɪ'vaɪn
diviner: di'vainə
divisible: də'vɪzəbl
division: dɪ'vɪʒn
divisional: dɪ'vɪʒənl
divisor: dɪ'vaɪzɚ
divorce: dɪ'vɔrs
divulge: dɪ'vʌldʒ
dizziness: 'dɪzinəs
dizzy: 'dɪzɪ
dna: dˈiˌɛnˈeɪ
do: du
docile: ˈdoʊˌsaɪl
dock: dɒk
doctor: ˈdɔktə(r)
doctoral: 'dɒktərəl
doctorate: 'dɒktərət
doctrinaire: ,dɑktrə'nɛr
doctrine: 'dɒktrɪn
document: 'dɒkjʊmənt
documentary: 'dɑkjə'mɛntri
documentation: ˌdɒkjʊmen'teɪʃn
dodge: dɒdʒ
dog: dɔɡ; (US) dɔːɡ
dogged: 'dɔɡɪd
doggedly: dˈɔɡədli
dogmatic: dɔɡ'mætɪk
dogmatist: 'dɔːgmətɪst
dogwood: 'dɔɡwʊd
dole: dəʊl
doleful: 'dolfl
doll: dɔl; (US) dɔːl
dollar: dɔlə
dolphin: 'dɒlfɪn
domain: də(ʊ)'meɪn
dome: dəʊm
domelike: 'dəumlaik
domestic: də'mestɪk
domestically: də'mɛstɪkli
domesticate: də'mestɪkeɪt
domestication: də,mɛstə'keʃən
domicile: 'dɑmɪsaɪl
dominance: 'dɔmɪnəns
dominant: 'dɒmɪnənt
dominate: 'dɒmɪneɪt
domination: ˌdɒmɪ'neɪʃn
domineer: ,dɔmi'niə
don: dɒn
donate: dəu'neɪt
donation: də(ʊ)'neɪʃ(ə)n
donkey: 'dɔŋki
donor: 'donɚ
doodle: 'dudl
doom: duːm
door: dɔː(r)
